id,curriculum_unit_id,teacher_id,content,assets,lesson_metadata,generated_at
6a64edb0-35fc-4f22-93a1-0d97d3740b12,10783124-a5d8-4032-9e38-616f5b9d7ba3,d35e0db6-cbea-452b-9789-0f9b2924ddd7,"{""body"": ""Libero distinctio optio vero. Iure quod optio enim eum voluptate voluptas. Assumenda reprehenderit nulla ducimus ipsam.""}","{""images"": [""https://picsum.photos/232/576"", ""https://placekitten.com/272/434""]}","{""duration"": ""45 mins"", ""objectives"": [""Hic animi veritatis sunt rem."", ""Eius delectus saepe dolor deleniti magni."", ""Est laboriosam tenetur rerum blanditiis amet.""]}",2025-09-28T01:02:32
1f8aeffa-d9e9-498d-b116-2f57e03771db,abce7c80-c97b-41c0-a86f-109f98920f91,79463430-c1cb-4afd-972d-2867a2370123,"{""body"": ""In dolore natus accusantium. Odit cum expedita fugit cum. Dolorum vitae labore asperiores officia pariatur voluptas.""}","{""images"": [""https://placekitten.com/49/713"", ""https://dummyimage.com/175x369""]}","{""duration"": ""60 mins"", ""objectives"": [""Fugit quo necessitatibus sed repellat neque odit aut."", ""Nisi cupiditate perferendis vero atque accusamus.""]}",2025-02-16T05:09:16
51d1c088-9979-410d-84f7-811ee0d38c6b,abce7c80-c97b-41c0-a86f-109f98920f91,44c2f51f-7bc5-41fd-89a1-6ea1b56ef005,"{""body"": ""Deleniti commodi ab quod amet. Fugiat delectus molestiae ducimus non. Iusto maiores eum modi possimus. Ratione nam ipsam doloribus nostrum quae facilis.""}","{""images"": [""https://picsum.photos/677/439"", ""https://placekitten.com/758/950""]}","{""duration"": ""45 mins"", ""objectives"": [""Tenetur exercitationem consequatur recusandae id alias minima."", ""Quasi atque animi tempore."", ""Ex dolore sit commodi.""]}",2025-04-14T08:22:20
c84e5c5c-d6bf-430d-88ae-6c7102f333dc,10783124-a5d8-4032-9e38-616f5b9d7ba3,f119061c-d353-4283-a077-d8232ebb26bb,"{""body"": ""Sequi enim nisi qui. Impedit sed distinctio animi nobis tempora. Consequuntur omnis ratione praesentium.""}","{""images"": [""https://picsum.photos/142/761"", ""https://picsum.photos/799/23""]}","{""duration"": ""30 mins"", ""objectives"": [""Consequatur saepe possimus commodi in."", ""Optio amet recusandae itaque facilis."", ""Aliquid iure iusto est natus quia.""]}",2025-05-19T19:38:46
8fa3d92c-9140-464e-ae61-23792cf5c9b1,20b9de58-9a2d-4338-a65e-0ced7e7eefbb,e580c391-3417-4f67-8d4f-0529025d5f76,"{""body"": ""Non dignissimos animi inventore tempore alias. Architecto accusantium quidem voluptas eos laborum delectus. Corporis blanditiis suscipit eum. Amet quidem aspernatur iure odio consequuntur et.""}","{""images"": [""https://dummyimage.com/991x187"", ""https://picsum.photos/643/319""]}","{""duration"": ""30 mins"", ""objectives"": [""Beatae minus recusandae autem.""]}",2025-06-21T16:00:40
127734ba-8f08-4e3c-9e65-7f2698c74e59,63582c53-b916-4368-9c74-8644cc75ecdb,162724da-18e1-4cd4-acfc-f82a9b5aba88,"{""body"": ""Expedita cumque modi vero. Impedit officia a unde unde. Recusandae aliquam non ea.""}","{""images"": [""https://picsum.photos/246/728"", ""https://placekitten.com/206/518""]}","{""duration"": ""60 mins"", ""objectives"": [""Eius harum corrupti itaque quos iusto quidem.""]}",2025-01-23T08:36:04
ca98bec5-9c0a-4016-9545-49a167b6b615,9e0b3928-89d4-4579-bb53-7c4a9299e863,ba3d0cb0-ce4c-48ba-bfb8-5fa1dd36dd8c,"{""body"": ""Beatae ullam nisi aspernatur numquam. Officiis eum a fuga maxime voluptas optio.""}","{""images"": [""https://dummyimage.com/696x828"", ""https://placekitten.com/867/250""]}","{""duration"": ""60 mins"", ""objectives"": [""Ipsum culpa est suscipit ipsa perferendis vitae architecto."", ""Ea aspernatur voluptate fugit voluptates.""]}",2025-05-26T07:33:25
61131735-1b3a-409c-9c27-f2a1aef21d44,63582c53-b916-4368-9c74-8644cc75ecdb,6d7b3595-2989-47a5-a33f-8c7fc6094a8f,"{""body"": ""Reprehenderit aspernatur ratione eos illum quos minus. Quam ab labore amet voluptates. Laboriosam unde eveniet sapiente molestias sed.""}","{""images"": [""https://picsum.photos/484/354"", ""https://dummyimage.com/441x936""]}","{""duration"": ""45 mins"", ""objectives"": [""Iusto voluptates eveniet voluptas debitis.""]}",2025-06-10T16:53:53
4ff73595-b2ce-4089-b6de-8bf4ea249fa0,52f5f054-f947-4ddc-9051-55407271f2ad,b9262ab0-0bcb-4ade-951b-bca8d7917e87,"{""body"": ""Aut pariatur nemo. Architecto atque porro. Quos nobis doloribus odio optio. Exercitationem dolore quibusdam debitis.""}","{""images"": [""https://dummyimage.com/480x267"", ""https://placekitten.com/557/262""]}","{""duration"": ""60 mins"", ""objectives"": [""Praesentium a delectus similique eligendi."", ""Earum quod quasi blanditiis.""]}",2025-03-10T21:46:56
c21488cf-23dc-45a6-9570-df7f5887d1eb,36a8b16a-6c40-49a4-b7c1-cf304ff8ce84,f655b608-f79b-4136-bce1-0dc3d5d78de5,"{""body"": ""At consequuntur quidem omnis excepturi minima accusamus. Nesciunt voluptates iure officiis deserunt. Quidem nesciunt dolorem aliquam assumenda voluptatibus. Repudiandae error minus a temporibus praesentium.""}","{""images"": [""https://dummyimage.com/206x434"", ""https://dummyimage.com/701x617""]}","{""duration"": ""30 mins"", ""objectives"": [""Magni repudiandae eveniet atque quo officiis ut."", ""Iste atque ipsum assumenda deleniti.""]}",2025-03-05T09:24:13
